Date,Game ID,Knock-out,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,Result
2023-09-23,87854,No,England,71,58,70,46,11,8,0,685,685,685,685,685,685,685,685,685,103,18,8,11,83,86,10,11,8,9,6,5,0,0,W
2023-09-23,87853,No,Georgia,18,52,67,38,2,1,2,540,540,540,540,540,540,540,540,540,130,23,3,4,76,82,13,14,7,8,3,6,0,0,D
2023-09-22,87852,No,Argentina,19,61,63,60,1,1,4,388,388,388,388,388,388,388,388,388,79,9,5,6,85,89,16,16,9,9,6,5,0,0,W
2023-09-21,87851,No,France,96,52,51,53,14,12,0,840,840,840,840,840,840,840,840,840,124,12,12,13,41,42,19,21,5,5,3,1,0,0,W
2023-09-20,87850,No,Italy,38,51,42,58,5,5,1,580,580,580,580,580,580,580,580,580,136,15,6,6,74,82,9,10,9,12,5,3,2,0,W
2023-09-17,87849,No,England,34,66,61,70,4,4,2,533,533,533,533,533,533,533,533,533,83,14,6,7,99,102,10,13,9,11,3,3,0,0,W
2023-09-17,87848,No,Australia,15,49,44,55,2,1,1,385,385,385,385,385,385,385,385,385,84,23,2,3,56,63,16,16,4,5,8,10,0,0,L
2023-09-17,87847,No,South Africa,76,60,58,61,12,7,0,810,810,810,810,810,810,810,810,810,127,19,7,11,60,62,15,17,6,8,5,2,0,0,W
2023-09-16,87846,No,Ireland,59,61,57,65,8,8,1,563,563,563,563,563,563,563,563,563,101,12,9,9,92,98,21,23,5,5,7,6,1,0,W
2023-09-16,87845,No,Wales,28,57,57,57,4,4,0,636,636,636,636,636,636,636,636,636,112,14,4,4,97,100,9,13,9,12,6,5,1,0,W
2023-09-16,87844,No,Samoa,43,51,49,53,5,3,4,403,403,403,403,403,403,403,403,403,111,24,7,9,56,58,15,17,7,9,5,4,2,0,W
2023-09-15,87843,No,New Zealand,71,64,72,57,11,8,0,733,733,733,733,733,733,733,733,733,68,10,8,11,62,65,11,11,5,6,7,5,0,1,W
2023-09-14,87842,No,France,27,52,66,39,3,3,2,420,420,420,420,420,420,420,420,420,93,18,5,6,48,53,8,9,9,13,8,7,1,0,W
2023-09-10,87841,No,Wales,32,39,42,36,4,3,2,396,396,396,396,396,396,396,396,396,253,34,5,7,40,45,10,11,3,4,13,4,1,0,W
2023-09-10,87840,No,South Africa,18,54,54,55,2,1,2,602,602,602,602,602,602,602,602,602,89,22,3,7,66,68,11,12,5,7,3,4,0,0,W
2023-09-10,87839,No,Japan,42,44,44,44,6,6,0,311,311,311,311,311,311,311,311,311,151,27,6,6,65,69,13,14,11,12,2,4,1,0,W
2023-09-09,87838,No,England,27,50,54,46,0,0,6,234,234,234,234,234,234,234,234,234,142,25,6,8,55,56,7,7,8,11,2,5,0,1,W
2023-09-09,87837,No,Australia,35,57,63,51,4,3,3,711,711,711,711,711,711,711,711,711,70,24,6,7,94,96,15,18,8,9,5,2,0,0,W
2023-09-09,87836,No,Ireland,82,67,57,76,12,11,0,1098,1098,1098,1098,1098,1098,1098,1098,1098,64,11,11,12,91,93,8,12,8,9,2,3,0,0,W
2023-09-09,87835,No,Italy,52,52,47,56,7,7,1,726,726,726,726,726,726,726,726,726,129,12,8,8,58,62,20,21,6,6,6,3,0,0,W
2023-09-08,87834,No,France,27,49,44,53,2,1,5,449,449,449,449,449,449,449,449,449,135,32,6,9,55,59,13,14,4,5,2,2,0,0,W
2023-10-28,87881,Yes,South Africa,12,40,37,42,0,0,4,360,360,360,360,360,360,360,360,360,209,37,4,4,56,56,6,10,10,11,6,4,2,0,W
2023-10-27,87880,Yes,England,26,47,55,41,2,2,4,282,282,282,282,282,282,282,282,282,175,34,6,6,63,66,7,8,9,12,6,2,0,0,W
2023-10-21,87879,Yes,South Africa,16,44,48,41,1,1,3,190,190,190,190,190,190,190,190,190,109,14,4,4,52,55,15,19,7,8,4,4,0,0,W
2023-10-20,87878,Yes,New Zealand,44,57,54,60,7,3,1,621,621,621,621,621,621,621,621,621,185,23,4,8,120,122,18,19,4,4,3,4,1,0,W
2023-10-15,87877,Yes,South Africa,29,40,41,40,4,3,1,424,424,424,424,424,424,424,424,424,158,43,4,5,56,59,5,5,7,8,5,1,1,0,W
2023-10-15,87876,Yes,Fiji,24,51,47,54,3,3,1,402,402,402,402,402,402,402,402,402,115,29,4,7,90,95,17,19,4,6,8,4,1,0,L
2023-10-14,87875,Yes,New Zealand,28,45,49,42,3,2,3,467,467,467,467,467,467,467,467,467,226,31,5,7,94,97,8,8,5,5,8,2,2,0,W
2023-10-14,87874,Yes,Argentina,29,56,57,55,2,2,5,425,425,425,425,425,425,425,425,425,95,22,7,8,109,111,10,10,7,7,4,3,0,0,W
2023-10-08,87873,No,Portugal,24,46,48,44,3,3,1,558,558,558,558,558,558,558,558,558,171,32,4,4,59,62,12,16,3,6,8,4,0,0,W
2023-10-08,87872,No,Romania,24,43,48,37,3,3,1,292,292,292,292,292,292,292,292,292,133,43,4,5,65,68,9,12,6,8,2,6,1,0,L
2023-10-08,87871,No,Argentina,39,52,54,50,5,4,2,519,519,519,519,519,519,519,519,519,120,29,6,8,95,96,5,6,5,8,4,3,0,0,W
2023-10-07,87870,No,Scotland,14,54,52,57,2,2,0,636,636,636,636,636,636,636,636,636,140,15,2,2,113,120,9,12,4,6,4,7,1,0,L
2023-10-07,87869,No,Samoa,17,45,51,40,2,2,1,434,434,434,434,434,434,434,434,434,104,26,3,4,67,70,11,12,5,6,10,4,1,0,L
2023-10-07,87868,No,Georgia,19,51,49,53,3,2,0,492,492,492,492,492,492,492,492,492,114,16,2,3,91,98,13,18,4,6,4,4,1,0,L
2023-10-06,87867,No,Italy,7,44,44,43,1,1,0,457,457,457,457,457,457,457,457,457,162,22,1,1,85,92,10,12,2,4,11,5,0,0,L
2023-10-05,87866,No,Uruguay,0,37,47,26,0,0,0,269,269,269,269,269,269,269,269,269,191,46,0,1,57,60,8,12,4,7,4,4,0,0,L
2023-10-01,87865,No,Tonga,18,45,50,40,3,0,1,253,253,253,253,253,253,253,253,253,159,16,1,4,76,85,14,15,6,7,6,6,0,0,L
2023-10-01,87864,No,Portugal,14,56,48,63,2,2,0,607,607,607,607,607,607,607,607,607,132,18,2,2,88,89,15,17,6,7,5,2,1,0,L
2023-09-30,87863,No,Romania,0,41,27,54,0,0,0,302,302,302,302,302,302,302,302,302,161,72,0,1,72,74,10,12,7,7,5,5,3,0,L
2023-09-30,87862,No,Georgia,12,45,47,42,0,0,4,480,480,480,480,480,480,480,480,480,196,17,4,4,68,73,7,9,7,8,6,7,0,0,L
2023-09-30,87861,No,Chile,5,40,40,40,1,0,0,316,316,316,316,316,316,316,316,316,184,46,0,2,64,68,4,7,2,3,6,6,0,0,L
2023-09-29,87860,No,Italy,17,43,31,56,2,2,1,445,445,445,445,445,445,445,445,445,125,33,3,3,67,72,6,11,2,8,8,6,0,0,L
2023-09-28,87859,No,Samoa,22,57,62,52,3,2,1,441,441,441,441,441,441,441,441,441,83,21,3,5,110,112,9,11,5,5,6,6,1,1,L
2023-09-27,87858,No,Namibia,26,44,49,39,2,2,4,353,353,353,353,353,353,353,353,353,121,34,6,6,73,76,9,9,4,5,11,6,2,1,L
2023-09-24,87857,No,Australia,6,48,59,33,0,0,2,295,295,295,295,295,295,295,295,295,124,15,2,2,74,75,7,9,5,5,8,4,0,0,L
2023-09-24,87856,No,Tonga,17,42,41,43,2,2,1,337,337,337,337,337,337,337,337,337,151,48,3,3,52,55,4,7,10,13,7,3,1,1,L
2023-09-23,87855,No,Ireland,13,49,58,40,1,1,2,218,218,218,218,218,218,218,218,218,119,23,3,3,74,77,12,18,5,7,5,4,0,0,W
2023-09-23,87854,No,Chile,0,42,30,54,0,0,0,256,256,256,256,256,256,256,256,256,140,28,0,1,65,68,9,13,3,4,8,4,1,0,L
2023-09-23,87853,No,Portugal,18,48,33,62,2,1,2,420,420,420,420,420,420,420,420,420,133,22,3,5,82,85,14,16,5,6,8,3,1,0,D
2023-09-22,87852,No,Samoa,10,39,37,40,1,1,1,132,132,132,132,132,132,132,132,132,139,35,2,4,47,50,8,11,7,9,7,6,1,0,L
2023-09-21,87851,No,Namibia,0,48,49,47,0,0,0,403,403,403,403,403,403,403,403,403,64,32,0,1,78,80,7,10,7,9,8,4,1,1,L
2023-09-20,87850,No,Uruguay,17,49,58,42,2,1,0,498,498,498,498,498,498,498,498,498,119,21,1,3,75,78,6,7,4,6,6,4,1,0,L
2023-09-17,87849,No,Japan,12,34,39,30,0,0,4,324,324,324,324,324,324,324,324,324,174,24,4,4,54,55,8,12,6,7,5,1,0,0,L
2023-09-17,87848,No,Fiji,22,51,56,45,1,1,5,399,399,399,399,399,399,399,399,399,116,21,6,8,52,54,17,23,7,11,5,2,0,0,W
2023-09-17,87847,No,Romania,0,40,42,39,0,0,0,246,246,246,246,246,246,246,246,246,113,35,0,1,58,69,8,14,3,6,7,11,0,0,L
2023-09-16,87846,No,Tonga,16,39,43,35,1,1,3,256,256,256,256,256,256,256,256,256,159,35,4,4,61,64,4,9,8,8,8,8,0,0,L
2023-09-16,87845,No,Portugal,8,43,43,43,1,0,1,373,373,373,373,373,373,373,373,373,156,27,1,4,68,70,12,13,6,9,9,2,0,1,L
2023-09-16,87844,No,Chile,10,49,51,47,1,1,1,301,301,301,301,301,301,301,301,301,101,13,2,2,68,74,10,12,5,6,10,7,2,0,L
2023-09-15,87843,No,Namibia,3,36,28,43,0,0,1,212,212,212,212,212,212,212,212,212,114,45,1,1,39,43,13,18,4,5,3,4,0,0,L
2023-09-14,87842,No,Uruguay,12,48,34,61,2,1,0,281,281,281,281,281,281,281,281,281,89,13,1,2,64,66,15,19,5,9,12,4,0,0,L
2023-09-10,87841,No,Fiji,26,61,58,64,4,3,0,655,655,655,655,655,655,655,655,655,70,23,3,5,130,134,12,13,7,10,6,3,1,0,L
2023-09-10,87840,No,Scotland,3,46,46,45,0,0,1,229,229,229,229,229,229,229,229,229,119,17,1,1,58,62,13,17,7,12,4,6,0,0,L
2023-09-10,87839,No,Chile,12,56,56,56,2,1,0,374,374,374,374,374,374,374,374,374,101,20,1,2,98,103,12,17,4,5,7,2,2,0,L
2023-09-09,87838,No,Argentina,10,50,46,54,1,1,1,308,308,308,308,308,308,308,308,308,83,10,2,3,77,83,11,15,1,2,5,8,1,0,L
2023-09-09,87837,No,Georgia,15,43,37,49,2,1,1,549,549,549,549,549,549,549,549,549,162,19,2,3,42,47,11,14,6,6,7,6,1,0,L
2023-09-09,87836,No,Romania,8,33,43,24,1,0,1,312,312,312,312,312,312,312,312,312,164,40,1,2,30,33,8,10,8,9,7,5,1,0,L
2023-09-09,87835,No,Namibia,8,48,53,44,1,0,1,324,324,324,324,324,324,324,324,324,107,41,1,3,78,81,9,12,6,6,5,8,1,0,L
2023-09-08,87834,No,New Zealand,13,51,56,47,2,0,1,631,631,631,631,631,631,631,631,631,93,16,1,3,75,80,10,11,5,7,7,5,1,0,L
